index,code,name,en_name
1,10993,浚仪,Junyi
2,10993,浚仪,Junyi
3,11026,京畿路,Jingji Lu
4,11027,开封府,Kaifeng Fu
5,11027,开封府,Kaifeng Fu
6,11032,雍邱,Yongqiu
7,11032,雍邱,Yongqiu
8,11123,澶州,Shan Zhou
9,11140,京东路,Jingdong Lu
10,11141,京东东路,Jingdongdong Lu
11,11142,青州,Qing Zhou
12,11143,益都,Yidu
13,11146,临朐,Linqu
14,11147,博兴,Boxing
15,11148,千乘,Qiancheng
16,11149,临淄,Linzi
17,11151,密州,Mi Zhou
18,11152,诸城,Zhucheng
19,11153,胶西,Jiaoxi
20,11154,安邱,Anqiu
21,11155,莒县,Ju Xian
22,11161,沂州,Yi Zhou
23,11162,临沂,Linyi
24,11163,承县,Cheng Xian
25,11164,沂水,Yishui
26,11165,费县,Fei Xian
27,11166,新泰,Xintai
28,11167,登州,Deng Zhou
29,11168,蓬莱,Penglai
30,11169,黄县,Huang Xian
31,11170,牟平,Mouping
32,11171,文登,Wendeng
33,11172,莱州,Lai Zhou
34,11173,掖县,Ye Xian
35,11174,莱阳,Laiyang
36,11175,胶水,Jiaoshui
37,11176,即墨,Jimo
38,11177,潍州,Wei Zhou
39,11179,昌邑,Changyi
40,11180,昌乐,Changle
41,11181,淄州,Zi Zhou
42,11182,淄川,Zichuan
43,11183,长山,Changshan
44,11184,邹平,Zouping
45,11187,淮阳军,Huaiyang Jun
46,11191,济南府,Ji'nan Fu
47,11192,历城,Licheng
48,11193,禹城,Yucheng
49,11194,长清,Changqing
50,11195,临邑,Linyi
51,11198,临济,Linji
52,11199,宣化军,Xuanhua Jun
53,11201,清平军,Qingping Jun
54,11202,章邱,Zhangqiu
55,11202,章邱,Zhangqiu
56,11203,京东西路,Jingdongxi Lu
57,11205,东平府,Dongping Fu
58,11206,须城,Xucheng
59,11207,阳谷,Yanggu
60,11208,中都,Zhongdu
61,11209,东阿,Dong'e
62,11210,寿张,Shouzhang
63,11211,平阴,Pingyin
64,11212,宋州,Song Zhou
65,11214,宋城,Songcheng
66,11221,谷熟,Gushu
67,11222,下邑,Xiayi
68,11223,虞城,Yucheng
69,11228,袭庆府,Xiqing Fu
70,11229,瑕邱,Xiaqiu
71,11230,瑕县,Xia Xian
72,11231,干封,Qianfeng
73,11232,奉符,Fengfu
74,11233,泗水,Sishui
75,11234,龚邱,Gongqiu
76,11235,龚县,Gong Xian
77,11236,曲阜,Qufu
78,11239,莱芜,Laiwu
79,11242,徐州,Xu Zhou
80,11243,彭城,Pengcheng
81,11244,沛县,Pei Xian
82,11245,萧县,Xiao Xian
83,11246,滕县,Teng Xian
84,11247,丰县,Feng Xian
85,11250,兴仁府,Xingren Fu
86,11255,宛句,Wanju
87,11255,宛句,Wanju
88,11256,宛亭,Wanting
89,11256,宛亭,Wanting
90,11262,济州,Ji Zhou
91,11263,巨野,Juye
92,11264,任城,Rencheng
93,11265,金乡,Jinxiang
94,11266,郓城,Yuncheng
95,11267,单州,Shan Zhou
96,11268,单父,Shanfu
97,11269,砀山,Dangshan
98,11270,成武,Chengwu
99,11271,鱼台,Yutai
100,11272,濮州,Pu Zhou
101,11273,鄄城,Juancheng
102,11274,雷泽,Leize
103,11275,临濮,Linpu
104,11276,范县,Fan Xian
105,11287,京西路,Jingxi Lu
106,11288,安州,An Zhou
107,11295,襄阳府路,Xiangyangfu Lu
108,11296,京西南路,Jingxi'nan Lu
109,11297,襄州,Xiang Zhou
110,11298,襄阳府,Xiangyang Fu
111,11298,襄阳府,Xiangyang Fu
112,11299,襄阳,Xiangyang
113,11299,襄阳,Xiangyang
114,11299,襄阳,Xiangyang
115,11301,邓城,Dengcheng
116,11301,邓城,Dengcheng
117,11301,邓城,Dengcheng
118,11305,宜城,Yicheng
119,11305,宜城,Yicheng
120,11305,宜城,Yicheng
121,11306,中庐,Zhonglu
122,11306,中庐,Zhonglu
123,11306,中庐,Zhonglu
124,11308,南漳,Nanzhang
125,11309,乐乡,Lexiang
126,11310,邓州,Deng Zhou
127,11311,穰县,Rang Xian
128,11314,内乡,Neixiang
129,11315,淅川,Xichuan
130,11316,顺阳,Shunyang
131,11321,唐城,Tangcheng
132,11333,淯阳,Yuyang
133,11333,淯阳,Yuyang
134,11335,房州,Fang Zhou
135,11340,永清,Yongqing
136,11341,上庸,Shangyong
137,11342,均州,Jun Zhou
138,11343,武当,Wudang
139,11346,丰利,Fengli
140,11347,郢州,Ying Zhou
141,11348,长寿,Changshou
142,11349,京山,Jingshan
143,11350,富水,Fushui
