index,code,name,en_name
1,5184,西安府,Xi'an Fu
2,8075,祥符,Xiangfu
3,7963,禹城,Yucheng
4,8076,中牟,Zhongmou
5,8038,武城,Wucheng
6,21201,贵西道,Guixi Dao
7,21167,宁夏道,Ningxia Dao
8,21111,河洛道,Heluo Dao
9,18524,新昌州,Xinchang Zhou
10,30016,安远军节度,Anyuan junjiedu
11,30090,镇宁军节度,Zhenning junjiedu
12,16819,宝坻,Baodi
13,16799,新泰,Xintai
14,16816,宛平,Wanping
15,17194,平晋,Pingjin
16,17230,坚州,Jian Zhou
17,16838,漷州,Huo Zhou
18,16811,牟平,Mouping
19,16805,德平,Deping
20,17197,太谷,Taigu
21,17108,临朐,Linqu
22,16801,安德,Ande
23,16802,平原,Pingyuan
24,17210,忻州,Xin Zhou
25,16803,齐河,Qihe
26,16804,清平,Qingping
27,16978,巨鹿,Julu
28,16882,天成,Tiancheng
29,17107,临淄,Linzi
30,17029,王屋,Wangwu
31,17021,濬州,Jun Zhou
32,17130,滕州,Teng Zhou
33,17111,寿光,Shouguang
34,16992,磁州,Ci Zhou
35,17097,兖州,Yan Zhou
36,16824,霸州,Ba Zhou
37,17135,博兴州,Boxing Zhou
38,16812,文登,Wendeng
39,17002,安阳,Anyang
40,16997,威州,Wei Zhou
41,17109,高苑,Gaoyuan
42,17115,胶州,Jiao Zhou
43,17106,益都,Yidu
44,16912,庆都,Qingdu
45,16987,永年,Yongnian
46,16842,顺州,Shun Zhou
47,17196,榆次,Yuci
48,16889,抚宁,Funing
49,17027,河阳,Heyang
50,17198,清源,Qingyuan
51,16848,固安州,Gu'an Zhou
52,16846,东安州,Dong'an Zhou
53,16850,龙庆州,Longqing Zhou
54,17242,岳阳,Yueyang
55,17200,交城,Jiaocheng
56,16793,夏津,Xiajin
57,301077,香河等处巡检司,Xianghe dengchu xunjiansi
58,17142,棣州,Di Zhou
59,17202,汾州,Fen Zhou
60,17112,潍州,Wei Zhou
61,17328,和众,Hezhong
62,16844,檀州,Tan Zhou
63,17199,寿阳,Shouyang
64,16854,开平,Kaiping
65,16942,元氏,Yuanshi
66,17251,潞州,Lu Zhou
67,16884,宝昌州,Baochang Zhou
68,17243,绛州,Jiang Zhou
69,16883,威宁,Weining
70,16798,莱芜,Laiwu
71,17028,济源,Jiyuan
72,16991,广平,Guangping
73,16818,永清,Yongqing
74,16820,昌平,Changping
75,16815,大兴,Daxing
76,17201,徐沟,Xugou
77,16829,通州,Tong Zhou
78,16821,涿州,Zhuo Zhou
79,16880,高原,Gaoyuan
