Addr1,Addr2,Addr3,Addr4,Addr5
峡路,宋朝,,,
忠州,峡路,宋朝,,
龙渠,忠州,峡路,宋朝,
南宾,忠州,峡路,宋朝,
酆都,忠州,峡路,宋朝,
桂溪,忠州,峡路,宋朝,
垫江,忠州,峡路,宋朝,
临江,忠州,峡路,宋朝,
达州,峡路,宋朝,,
新宁,达州,峡路,宋朝,
东乡,达州,峡路,宋朝,
通明,达州,峡路,宋朝,
黔州,峡路,宋朝,,
彭水,黔州,峡路,宋朝,
黔江,黔州,峡路,宋朝,
洪都,黔州,峡路,宋朝,
洋水,黔州,峡路,宋朝,
信宁,黔州,峡路,宋朝,
都濡,黔州,峡路,宋朝,
务川城,黔州,峡路,宋朝,
洋羁縻州,黔州,峡路,宋朝,
蛮羁縻州,黔州,峡路,宋朝,
大万谷乐羁縻州,黔州,峡路,宋朝,
功羁縻州,黔州,峡路,宋朝,
普宁羁縻州,黔州,峡路,宋朝,
蒋羁縻州,黔州,峡路,宋朝,
陈蒙羁縻州,黔州,峡路,宋朝,
候羁縻州,黔州,峡路,宋朝,
犍羁縻州,黔州,峡路,宋朝,
庄羁縻州,黔州,峡路,宋朝,
邦羁縻州,黔州,峡路,宋朝,
邦羁縻州,黔州,峡路,宋朝,
南宁羁縻州,黔州,峡路,宋朝,
和武羁縻州,黔州,峡路,宋朝,
乡羁縻州,黔州,峡路,宋朝,
罗嵩羁縻州,黔州,峡路,宋朝,
牂羁縻州,黔州,峡路,宋朝,
合江羁縻州,黔州,峡路,宋朝,
南州羁縻州,黔州,峡路,宋朝,
充羁縻州,黔州,峡路,宋朝,
南平羁縻州,黔州,峡路,宋朝,
南羁縻州,黔州,峡路,宋朝,
夷羁縻州,黔州,峡路,宋朝,
溱羁縻州,黔州,峡路,宋朝,
秬羁縻州,黔州,峡路,宋朝,
邦羁縻州,黔州,峡路,宋朝,
兴州,峡路,宋朝,,
长举,兴州,峡路,宋朝,
略阳,兴州,峡路,宋朝,
顺政,兴州,峡路,宋朝,
剑州,峡路,宋朝,,
普安,剑州,峡路,宋朝,
梓潼,剑州,峡路,宋朝,
阴平,剑州,峡路,宋朝,
武连,剑州,峡路,宋朝,
普城,剑州,峡路,宋朝,
临津,剑州,峡路,宋朝,
永归,剑州,峡路,宋朝,
剑门,剑州,峡路,宋朝,
广安军,峡路,宋朝,,
和溪,广安军,峡路,宋朝,
岳池,广安军,峡路,宋朝,
新明,广安军,峡路,宋朝,
渠江,广安军,峡路,宋朝,
泸州,峡路,宋朝,,
泸川军节度,泸州,峡路,宋朝,
罗氏部,泸州,峡路,宋朝,
泸川,泸州,峡路,宋朝,
富义,泸州,峡路,宋朝,
淯井监,泸州,峡路,宋朝,
武都城,泸州,峡路,宋朝,
九支城,泸州,峡路,宋朝,
绵水,泸州,峡路,宋朝,
纳溪,泸州,峡路,宋朝,
乐共城,泸州,峡路,宋朝,
泾南,泸州,峡路,宋朝,
合江,泸州,峡路,宋朝,
江安,泸州,峡路,宋朝,
果州,峡路,宋朝,,
流溪,果州,峡路,宋朝,
岳池,果州,峡路,宋朝,
相如,果州,峡路,宋朝,
西充,果州,峡路,宋朝,
南充,果州,峡路,宋朝,
罗殿,峡路,宋朝,,
龙州,峡路,宋朝,,
江油,龙州,峡路,宋朝,
