Person,Event,Time,Location,Description
苏轼,出生,1037,眉州眉山,苏轼出生于眉州眉山，家族为苏味道后裔。
苏轼,进京应试,1056-1057,开封,苏轼随父苏洵与弟苏辙赴京参加科举，文风清新脱俗，获得欧阳修赏识。
苏轼,中制科考试,1061,开封,通过三年京察考试，被授大理评事，开始仕途。
苏轼,守丧返乡,1061-1064,眉州,母亲病故后守丧三年，后还朝。
苏轼,请求外放任职,1071-1079,杭州、密州、徐州、湖州,因反对王安石新法主动请求外放，历任多地知州。
苏轼,乌台诗案,1079,开封,因《湖州谢表》被指讽刺朝政，被捕入狱103天，后贬为黄州团练副使。
苏轼,被贬黄州,1079-1084,黄州,贬居黄州，创作《赤壁赋》等名篇，自号东坡居士。
苏轼,赴汝州受命,1084,汝州,奉诏赴汝州，因丧子之痛请改居常州，后获批准。
苏轼,再次起用,1085,登州、开封,高太后临朝，旧党执政，苏轼被任知登州，后召还为翰林学士。
苏轼,任职杭州,1089,杭州,任知杭州期间疏浚西湖，筑“苏堤”，造福百姓。
苏轼,惠州任职,1094,惠州,被贬惠州，修筑西湖苏堤，深受百姓欢迎。
苏轼,被贬儋州,1097,儋州,再次被贬至海南儋州，设学育人，开启当地文教。
苏轼,去世,1101,常州,北归途中病逝于常州，葬于郏城县，追赠太师，谥号文忠。
